"Date","Price","Open","High","Low","Vol.","Change %"
"28/06/2024","1.4995","1.5046","1.5108","1.4957","","-0.30%"
"27/06/2024","1.5040","1.5042","1.5063","1.4983","","0.01%"
"26/06/2024","1.5038","1.5046","1.5072","1.4948","","-0.04%"
"25/06/2024","1.5044","1.5027","1.5073","1.4983","","0.18%"
"24/06/2024","1.5017","1.5058","1.5094","1.4995","","-0.24%"
"21/06/2024","1.5053","1.5029","1.5082","1.4991","","0.21%"
"20/06/2024","1.5022","1.4990","1.5044","1.4969","","0.24%"
"19/06/2024","1.4986","1.5024","1.5031","1.4974","","-0.24%"
"18/06/2024","1.5022","1.5131","1.5153","1.5018","","-0.64%"
"17/06/2024","1.5119","1.5116","1.5187","1.5092","","0.04%"
"14/06/2024","1.5113","1.5072","1.5173","1.5055","","0.31%"
"13/06/2024","1.5067","1.5009","1.5094","1.4978","","0.42%"
"12/06/2024","1.5004","1.5136","1.5160","1.4913","","-0.79%"
"11/06/2024","1.5124","1.5128","1.5181","1.5119","","-0.01%"
"10/06/2024","1.5126","1.5183","1.5208","1.5122","","-0.41%"
"07/06/2024","1.5188","1.5002","1.5202","1.4966","","1.26%"
"06/06/2024","1.4999","1.5040","1.5076","1.4960","","-0.27%"
"05/06/2024","1.5040","1.5046","1.5094","1.5002","","-0.05%"
"04/06/2024","1.5047","1.4949","1.5082","1.4926","","0.66%"
"03/06/2024","1.4948","1.5031","1.5080","1.4936","","-0.54%"
"31/05/2024","1.5029","1.5075","1.5092","1.4983","","-0.30%"
"30/05/2024","1.5074","1.5128","1.5176","1.5040","","-0.33%"
"29/05/2024","1.5124","1.5039","1.5132","1.5000","","0.59%"
"28/05/2024","1.5035","1.5031","1.5056","1.4969","","0.06%"
"27/05/2024","1.5026","1.5095","1.5103","1.5014","","-0.36%"
"24/05/2024","1.5081","1.5137","1.5173","1.5065","","-0.36%"
"23/05/2024","1.5135","1.5107","1.5158","1.5029","","0.21%"
"22/05/2024","1.5103","1.5003","1.5135","1.4956","","0.69%"
"21/05/2024","1.4999","1.4998","1.5046","1.4971","","0.03%"
"20/05/2024","1.4995","1.4941","1.5012","1.4902","","0.37%"
"17/05/2024","1.4939","1.4974","1.5044","1.4922","","-0.22%"
"16/05/2024","1.4972","1.4940","1.5030","1.4891","","0.23%"
"15/05/2024","1.4937","1.5091","1.5103","1.4935","","-1.04%"
"14/05/2024","1.5094","1.5131","1.5200","1.5086","","-0.24%"
"13/05/2024","1.5131","1.5147","1.5187","1.5083","","-0.09%"
"10/05/2024","1.5145","1.5105","1.5162","1.5097","","0.28%"
"09/05/2024","1.5103","1.5200","1.5234","1.5100","","-0.61%"
